ansi_index,radial_order_n,azimuthal_frequency_m,name,coefficient_nm_rms,coefficient_waves_rms
1,1,-1,Y tilt,4.018017938956904,0.02077912549623983
2,1,1,X tilt,1.2136662880338775e-09,6.276458814456774e-12
3,2,-2,Oblique astigmatism,-8.106532421029926e-10,-4.192282291294281e-12
4,2,0,Defocus,-20.998672671607288,-0.10859435207276946
5,2,2,Vertical astigmatism,-0.08843659788695478,-0.000457348671377657
6,3,-3,Oblique trefoil,-0.04668820334627362,-0.00024144741294461136
7,3,-1,Y coma,0.17635735380054487,0.000912029672958012
8,3,1,X coma,1.396108596482606e-11,7.21995674818277e-14
9,3,3,Vertical trefoil,-4.3014799122020447e-10,-2.224504526189465e-12
10,4,-4,Oblique quadrafoil,-4.5731426195113026e-10,-2.3649945283145618e-12
11,4,-2,Secondary oblique astigmatism,-2.0501994640898993e-10,-1.0602578834604996e-12
12,4,0,Primary spherical,-0.05373921215473706,-0.000277911609753098
13,4,2,Secondary vertical astigmatism,0.20126292096264872,0.0010408284771143556
14,4,4,Vertical quadrafoil,0.021204892944630224,0.00010966081742910007
15,5,-5,"Z(5,-5)",0.052115229517658436,0.0002695132054820779
16,5,-3,"Z(5,-3)",0.27799302825453526,0.0014376371905099872
17,5,-1,Secondary Y coma,0.13060195819581497,0.0006754062626484989
18,5,1,Secondary X coma,-1.1990127218737857e-09,-6.200678094999098e-12
19,5,3,"Z(5,3)",-8.410225234827115e-10,-4.3493366197235916e-12
20,5,5,"Z(5,5)",-6.580249001495197e-10,-3.4029668825737434e-12
21,6,-6,"Z(6,-6)",1.464419184540295e-09,7.573224031588964e-12
22,6,-4,"Z(6,-4)",-3.4385700817917396e-10,-1.7782518730047058e-12
23,6,-2,"Z(6,-2)",6.732217246415259e-10,3.4815570551566224e-12
24,6,0,Secondary spherical,0.03414286513307658,0.00017656936583652195
25,6,2,"Z(6,2)",0.27004132655774443,0.0013965150725960057
26,6,4,"Z(6,4)",-0.040168170447064916,-0.0002077291508784541
27,6,6,"Z(6,6)",-0.03536255431931549,-0.00018287697198768918
